Poll	Date	Biden	Sanders	Warren	Buttigieg	Bloomberg	Klobuchar	Yang	Booker	Gabbard	Steyer	Castro	Delaney	Bennet	Spread
RCP Average	12/8 - 12/29	28.4	18.9	15.2	8.2	4.9	3.6	3.5	2.5	1.7	1.4	1.2	0.6	0.4	Biden +9.5
Morning Consult	12/23 - 12/29	32	21	14	8	6	3	4	3	1	3	1	1	1	Biden +11
Economist/YouGov	12/22 - 12/24	30	17	19	7	4	5	3	2	2	1	1	1	0	Biden +11
Morning Consult	12/20 - 12/22	31	21	15	9	6	3	5	3	2	3	1	1	1	Biden +10
Emerson	12/15 - 12/17	32	25	12	8	3	2	6	2	4	2	0	1	0	Biden +7
NBC News/Wall St. Jrnl	12/14 - 12/17	28	21	18	9	4	5	3	2	2	1	1	0	0	Biden +7
Economist/YouGov	12/14 - 12/17	29	19	17	7	4	4	3	2	3	2	2	1	1	Biden +10
CNN	12/12 - 12/15	26	20	16	8	5	3	3	3	1	1	2	1	0	Biden +6
The Hill/HarrisX	12/13 - 12/14	29	13	13	5	5	3	3	2	1	3	4	2	1	Biden +16
Quinnipiac	12/11 - 12/15	30	16	17	9	7	3	3	2	1	1	1	0	0	Biden +13
USA Today/Suffolk	12/10 - 12/14	23	14	13	8	6	3	2	3	1	1	0	0	0	Biden +9
Morning Consult	12/9 - 12/15	31	22	15	8	7	2	4	3	2	3	1	1	1	Biden +9
NPR/PBS/Marist	12/9 - 12/11	24	22	17	13	4	4	5	4	1	0	1	0	1	Biden +2
FOX News	12/8 - 12/11	30	20	13	7	5	5	3	2	3	1	1	0	1	Biden +10
IBD/TIPP	12/5 - 12/14	26	18	14	9	5	2	2	3	1	2	1	0	1	Biden +8
Economist/YouGov	12/7 - 12/10	26	16	21	11	4	2	3	3	3	1	1	0	1	Biden +5
Quinnipiac	12/4 - 12/9	29	17	15	9	5	3	4	1	2	1	1	1	1	Biden +12
Monmouth	12/4 - 12/8	26	21	17	8	5	4	3	2	0	1	1	0	0	Biden +5
Politico/Morning Consult	12/2 - 12/8	30	22	16	9	6	2	4	3	2	3	1	1	1	Biden +8
Economist/YouGov	12/1 - 12/3	27	13	18	12	3	3	2	3	2	0	1	0	1	Biden +9
The Hill/HarrisX	11/30 - 12/1	31	15	10	9	6	2	2	1	0	2	2	1	1	Biden +16
Politico/Morning Consult	11/25 - 12/1	29	20	15	9	5	2	4	2	2	2	1	1	1	Biden +9
Harvard-Harris	11/27 - 11/29	29	16	13	8	7	2	3	1	1	2	0	1	--	Biden +13
Economist/YouGov	11/24 - 11/26	23	15	17	12	3	3	3	2	2	1	1	1	0	Biden +6
Quinnipiac	11/21 - 11/25	24	13	14	16	3	3	2	2	1	0	2	0	2	Biden +8
CNN	11/21 - 11/24	28	17	14	11	3	2	3	2	0	3	1	0	0	Biden +11
Politico/Morning Consult	11/21 - 11/24	30	21	15	9	2	2	4	2	2	2	1	1	1	Biden +9
SurveyUSA	11/20 - 11/21	30	17	15	11	3	2	4	2	1	2	1	--	--	Biden +13
Emerson	11/17 - 11/20	27	27	20	7	1	1	4	1	2	2	1	0	0	Tie
Economist/YouGov	11/17 - 11/19	30	12	22	9	--	2	2	1	3	1	0	0	1	Biden +8
The Hill/HarrisX	11/16 - 11/17	30	18	15	7	3	1	2	1	1	1	2	2	1	Biden +12
Politico/Morning Consult	11/11 - 11/17	32	20	17	8	3	2	3	2	2	1	1	1	1	Biden +12
Economist/YouGov	11/10 - 11/12	23	17	26	9	--	2	4	1	2	1	2	1	0	Warren +3
Politico/Morning Consult	11/4 - 11/10	32	20	19	8	2	2	3	3	1	1	1	1	1	Biden +12
Economist/YouGov	11/3 - 11/5	26	14	25	8	--	2	1	2	3	1	3	1	0	Biden +1
Monmouth	10/30 - 11/3	23	20	23	9	--	2	3	3	0	1	0	0	0	Tie
The Hill/HarrisX	11/1 - 11/2	26	14	15	6	--	3	1	2	1	1	2	1	1	Biden +11
Politico/Morning Consult	10/28 - 11/3	32	20	20	7	--	2	3	2	2	1	1	1	1	Biden +12
Harvard-Harris	10/29 - 10/31	33	18	15	4	--	3	2	3	0	1	0	0	--	Biden +15
NBC News/Wall St. Jrnl	10/27 - 10/30	27	19	23	6	--	5	3	2	2	0	1	0	1	Biden +4
ABC News/Wash Post	10/27 - 10/30	28	17	23	9	--	2	2	2	2	1	1	1	1	Biden +5
FOX News	10/27 - 10/30	31	19	21	7	--	2	3	2	2	1	0	0	0	Biden +10
Economist/YouGov	10/27 - 10/29	27	14	23	7	--	2	3	1	2	1	1	0	1	Biden +4
LA Times/USC	10/21 - 11/3	28	13	16	6	--	2	2	1	1	1	0	0	0	Biden +12
IBD/TIPP	10/24 - 10/31	29	13	23	7	--	3	3	1	0	1	1	0	0	Biden +6
USA Today/Suffolk	10/23 - 10/26	26	13	17	10	--	2	3	2	4	1	0	0	0	Biden +9
Politico/Morning Consult	10/21 - 10/27	32	20	20	7	--	2	3	2	2	1	1	1	1	Biden +12
The Hill/HarrisX	10/21 - 10/22	27	14	19	6	--	1	2	1	0	1	1	0	1	Biden +8
Economist/YouGov	10/20 - 10/22	24	16	23	8	--	2	3	3	2	1	1	0	1	Biden +1
Emerson	10/18 - 10/21	27	25	21	6	--	1	4	3	3	1	0	0	0	Biden +2
Quinnipiac	10/17 - 10/21	21	15	28	10	--	3	1	1	1	1	1	0	0	Warren +7
CNN	10/17 - 10/20	34	16	19	6	--	3	2	1	1	1	0	0	1	Biden +15
Politico/Morning Consult	10/16 - 10/20	30	18	21	6	--	2	3	3	1	1	1	1	1	Biden +9
Politico/Morning Consult	10/16 - 10/16	31	18	21	6	--	2	3	2	1	2	1	1	1	Biden +10
SurveyUSA	10/15 - 10/16	32	17	22	5	--	2	2	2	1	1	1	--	--	Biden +10
Economist/YouGov	10/13 - 10/15	25	13	29	7	--	2	2	1	3	1	0	1	1	Warren +4
Quinnipiac	10/11 - 10/13	27	11	30	8	--	2	2	2	0	2	1	0	1	Warren +3
Politico/Morning Consult	10/7 - 10/12	32	19	21	5	--	1	3	2	1	1	1	1	1	Biden +11
Economist/YouGov	10/6 - 10/8	25	14	29	5	--	1	3	1	1	1	1	1	0	Warren +4
FOX News	10/6 - 10/8	32	17	22	4	--	2	2	2	1	1	1	0	1	Biden +10
