	index	Poll	Date	Biden	Sanders	Warren	Buttigieg	Bloomberg	Klobuchar	Yang	Booker	Gabbard	Steyer	Castro	Delaney	Bennet	Spread	start_ds	end_ds
0	1	Politico/Morning Consult	12/23 - 12/29	32.0	21.0	14.0	8	6	3	4	3.0	1	3	1.0	1	1	Biden +11	2019-12-23	2019-12-29
1	3	Politico/Morning Consult	12/20 - 12/22	31.0	21.0	15.0	9	6	3	5	3.0	2	3	1.0	1	1	Biden +10	2019-12-20	2019-12-22
2	11	Politico/Morning Consult	12/9 - 12/15	31.0	22.0	15.0	8	7	2	4	3.0	2	3	1.0	1	1	Biden +9	2019-12-09	2019-12-15
3	18	Politico/Morning Consult	12/2 - 12/8	30.0	22.0	16.0	9	6	2	4	3.0	2	3	1.0	1	1	Biden +8	2019-12-02	2019-12-08
4	21	Politico/Morning Consult	11/25 - 12/1	29.0	20.0	15.0	9	5	2	4	2.0	2	2	1.0	1	1	Biden +9	2019-11-25	2019-12-01
5	26	Politico/Morning Consult	11/21 - 11/24	30.0	21.0	15.0	9	2	2	4	2.0	2	2	1.0	1	1	Biden +9	2019-11-21	2019-11-24
6	31	Politico/Morning Consult	11/11 - 11/17	32.0	20.0	17.0	8	3	2	3	2.0	2	1	1.0	1	1	Biden +12	2019-11-11	2019-11-17
7	33	Politico/Morning Consult	11/4 - 11/10	32.0	20.0	19.0	8	2	2	3	3.0	1	1	1.0	1	1	Biden +12	2019-11-04	2019-11-10
8	37	Politico/Morning Consult	10/28 - 11/3	32.0	20.0	20.0	7		2	3	2.0	2	1	1.0	1	1	Biden +12	2019-10-28	2019-11-03
9	46	Politico/Morning Consult	10/21 - 10/27	32.0	20.0	20.0	7		2	3	2.0	2	1	1.0	1	1	Biden +12	2019-10-21	2019-10-27
10	52	Politico/Morning Consult	10/16 - 10/20	30.0	18.0	21.0	6		2	3	3.0	1	1	1.0	1	1	Biden +9	2019-10-16	2019-10-20
11	53	Politico/Morning Consult	10/16 - 10/16	31.0	18.0	21.0	6		2	3	2.0	1	2	1.0	1	1	Biden +10	2019-10-16	2019-10-16
12	57	Politico/Morning Consult	10/7 - 10/12	32.0	19.0	21.0	5		1	3	2.0	1	1	1.0	1	1	Biden +11	2019-10-07	2019-10-12
13	62	Politico/Morning Consult	9/30 - 10/6	33.0	19.0	21.0	5		1	3	2.0	1	1	1.0	1	1	Biden +12	2019-09-30	2019-10-06
14	66	Politico/Morning Consult	9/23 - 9/29	32.0	19.0	21.0	5		1	3	3.0	1	1	1.0	1	1	Biden +11	2019-09-23	2019-09-29
15	72	Politico/Morning Consult	9/16 - 9/22	32.0	19.0	20.0	5		2	3	3.0	1	1	1.0	1	1	Biden +12	2019-09-16	2019-09-22
16	77	Politico/Morning Consult	9/13 - 9/15	32.0	20.0	18.0	5		2	3	3.0	1	1	1.0	1	0	Biden +12	2019-09-13	2019-09-15
17	82	Politico/Morning Consult	9/2 - 9/8	33.0	21.0	16.0	5		1	3	3.0	1	1	1.0	1	1	Biden +12	2019-09-02	2019-09-08
