text,class_name
"I would fund border security. But the worst thing President Trump has done is he’s diverted the funds away from cross border terrorism, cross border human trafficking, drug trafficking, and gun trafficking, and he’s given that money to the for-profit prisons. I would not be spending money in for-profit prisons to lock up children and asylum seekers.",IMMIGRATION
"I’m running for president to solve these problems, to build infrastructure, to fix our broken healthcare system, to invest in communities that have been left behind to improve public education. I just don’t want to be your president to be your president, I want to be your president to do the job. This is not about me, this is about getting America working again.",HEALTHCARE
As a matter of fact they will with our bill.,OTHER
"All right. Well, Senator Klobuchar, let me put the question to you. You’re one of the Democrats who wants to keep private insurance in addition to a government healthcare plan. Why is an incremental approach in your view better than sweeping overhaul?",HEALTHCARE
"John, I appreciate the question. The answer is yes, but that action should always be undertaken with allies and partners and friends. When the United States presents a United front, we have a much better chance of achieving our foreign policy aims and preventing the kind of genocide to which you refer, the kind of genocide that we saw in Rwanda, the kind of genocide we want to stop going forward.",FOREIGN_POLICY
"Senator. I’m staying with you. I’m staying with you, but you’ve exceeded your time and so let me just stay with you on Medicare for All.",HEALTHCARE
All of these things have to do.,OTHER
crosstalk 00:30:23] Universal healthcare in this country.,HEALTHCARE
"Thank you, Mayor. Senator Klobuchar, please respond.",OTHER
"What we need to talk about is why so many Americans have unnecessary chronic illnesses, so many more compared to other countries. That gets back into not just the big pharma, not just health insurance companies, it has to do with chemical policies, it has to do with environmental-",HEALTHCARE
"We’re pretty close to the day when we will wake up to the news of a casualty in Afghanistan who was not born on 9/11. I was sent into that war by a congressional authorization as well as the president, and we need to talk not only about the need for a president committed to ending endless war, but the fact that Congress has been asleep at the switch.",FOREIGN_POLICY
"This is an issue that impacts all of us as Americans and people all over the world. This is not a Democrat issue or Republican issue. This is about the environmental threats that each and every one of us face. These are the kinds of conversations that we’re having in our town hall meetings and house parties in different parts of the country where we have Democrats, Republicans, libertarians, and independents coming together saying, “Hey, we are all concerned about making sure that we have clean water to drink for our families, that we have clean air to breathe, that we’re able to raise our kids in a community that’s safe.”",ENVIRONMENT
"I mean, there are plenty of people who applauded black women and for the success of the 2018 election, applauded black women for the election of a Senator from Alabama. But at some point folks get tired of just saying, “Oh, thank me for showing up,” and say, “Well, show up for me.” Because when black women are three to four times more likely to die in connection with childbirth in America. When the sons of black women will die because of gun violence more than any other cause of death. When black women make 61 cents on the dollar as compared to all women who tragically make 80 cents on the dollar, the question has to be where you been and what are you going to do? And do you understand who the people are?",GUN_CONTROL
May I get in this?,OTHER
"This is reassuring in the fact that we’re all acknowledging that we have to reach across the aisle, get things done. No other way to get anything done in this country. The two people maybe that surprised you the most were, he’s been mentioned twice, but John McCain. John McCain worked for me when he worked in the Navy and he was assigned to me to travel around the world. We became close friends, became very close friends with my wife, Jill. Visited our home. He was there with his children and on his deathbed, he asked me to do his eulogy. I would say to John, “John, you didn’t see a war. You never wanted a fight.” And he’d say, “You didn’t see a problem. You’d never wanted to solve.” But he was a great man of principle. He was honorable, he was honorable.",FOREIGN_POLICY
"Thank you, senator. Senator-",OTHER
"Thank you, Mr. Mayor.",OTHER
"I want to turn now to jobs. According to a recent study, about a quarter of American jobs could be lost to automation in just the next 10 years. Ohio is one of the states likely to be hardest hit. Senator Sanders, you say your federal jobs guarantee is part of the answer to the threat from automation, but tens of millions of Americans could end up losing their jobs. Are you promising that you will have a job for every single one of those Americans?",ECONOMY
Climate change and the lack of economic mobility Bernie talks about.,ENVIRONMENT
"I agree with Senator Booker that a lot of what Vice President helped author in ’94 was a mistake, and he has flip flopped on these things, and that’s clear. But let me say, when we talk about criminal justice reform, there are a lot of things that we can talk about: sentencing reform, cash bail reform, investing in public defenders, diversion programs. I’m proud that I’m the only candidate that has put forward a police reform plan because we have a police system that is broken and we need to fix it and whether it’s the case of someone like Tamir Rice or Michael Brown or Eric Garner, where the Trump Justice Department just decided not to pursue charges. We do ensure we have a national use of force standard and that we end qualified immunity for police officers so that we can hold them accountable for using excessive force.",FOREIGN_POLICY
"I’m glad you asked me this question, and there have been many distortions of my record. Let me be very clear. I made a decision to become a prosecutor for two reasons, one, I’ve always wanted to protect people and keep them safe, and second, I was born knowing about how this criminal justice system in America has worked in a way that has been informed by racial bias, and I could tell you extensively about the experiences I and my family members have personally had. But I made a decision that if I was going to have the ability to reform the system, I would try to do it from the inside. So I took on the position that allowed me, without asking permission, to create one of the first in the nation initiatives that was a model and became a national model around people who are arrested for drugs and getting them jobs. I created one of the first in the nation requirements that a state law enforcement agency would have to wear cameras and keep them on full-time.",ECONOMY
"Thank you, Senator. Senator Klobuchar.",OTHER
"Real quick. I have the only plan that limits the ability of insurance companies to charge unreasonable prices. Flat out, number one. Number two, we should put some of these insurance executives who totally oppose my plan in jail for the nine billion opioids they sell out there. They are misrepresenting the American people, what need to be done. And lastly, here’s the deal: The deal is, let’s figure out how this works. We immediately are able to cover everybody who wants to get off of their insurance plan they don’t like, no matter what one it is, and-",HEALTHCARE
Erin. Erin. Erin.,OTHER
